Plant,Date,Shift,Material Number,Bench,BWE,TWH,EWH,Stoppage,secs,BOUND HOURS,Time From,Time to,Duration,Group code,Cause code,stopcode,Remarks,Group code text,Cause code text
M002,01-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.15,04.15,03.45,13500,00.00,0400,0600,02.00,44,09,4409,NS3 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,01-12-2022,III,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,34,01,3401,Belt-1 Changing,Planned VULCANSING,BWE Planned vulcanising work
M002,02-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,02-12-2022,I,SF01OBURDEN,NSB,1422,01.15,01.15,06.45,24300,00.00,0600,0715,01.15,44,09,4409,NS3 Weak joint area BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,I,SF01OBURDEN,NSB,1422,01.15,01.15,06.45,24300,00.00,0745,0755,00.10,60,99,6099,Spr-IV R/Belt Roller protection acted,Spreader Operation,Others
M002,02-12-2022,I,SF01OBURDEN,NSB,1422,01.15,01.15,06.45,24300,00.00,0840,0900,00.20,44,05,4405,NS-2 Center core cutting (Single 2 mtre),Conveyor Vulcanising,Center core cutting
M002,02-12-2022,I,SF01OBURDEN,NSB,1422,01.15,01.15,06.45,24300,00.00,0900,1100,02.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,02-12-2022,I,SF01OBURDEN,NSB,1422,01.15,01.15,06.45,24300,00.00,1100,1400,03.00,44,09,4409,"Extn. NS3,NS5,NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.55,00.55,07.05,25500,00.00,0600,0715,01.15,44,09,4409,NS3 Weak joint area BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.55,00.55,07.05,25500,00.00,0745,0755,00.10,60,99,6099,Spr-IV R/Belt Roller protection acted,Spreader Operation,Others
M002,02-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.55,00.55,07.05,25500,00.00,0820,0900,00.40,21,03,2103,MTC-7 LHS track plate double eye got cut & changing,MTC MM,Mc Full Track Plate Pin/Plates Chg/Cutting-Welding
M002,02-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.55,00.55,07.05,25500,00.00,0900,1100,02.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,02-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.55,00.55,07.05,25500,00.00,1100,1400,03.00,44,09,4409,"Extn. NS3,NS5,NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,I,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,02-12-2022,II,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,02-12-2022,II,SF01OBURDEN,NSB,1422,03.05,03.05,04.55,17700,00.00,1400,1800,04.00,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,02-12-2022,II,SF01OBURDEN,NSB,1422,03.05,03.05,04.55,17700,00.00,1820,1845,00.25,40,99,4099,NS1 Frame no : 128 Pull cord fault,Conveyor Operation,Other
M002,02-12-2022,II,SF01OBURDEN,NSB,1422,03.05,03.05,04.55,17700,00.00,1920,1935,00.15,44,09,4409,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,II,SF01OBURDEN,NSB,1422,03.05,03.05,04.55,17700,00.00,2030,2045,00.15,48,16,4816,NS6 Electrical fault,Conveyor Electrical,Electrical work/trouble.
M002,02-12-2022,II,SF01OBURDEN,NSB,L&T 2,02.45,02.45,05.15,18900,00.00,1400,1800,04.00,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,02-12-2022,II,SF01OBURDEN,NSB,L&T 2,02.45,02.45,05.15,18900,00.00,1800,1820,00.20,21,99,2199,MTC-7 LHS Track plate double eye got cut & track plate chang,MTC MM,Other works
M002,02-12-2022,II,SF01OBURDEN,NSB,L&T 2,02.45,02.45,05.15,18900,00.00,1820,1845,00.25,11,01,1101,plate changed,BWE MM,Mc Track Plate (1/2pad) Chg/Repair works
M002,02-12-2022,II,SF01OBURDEN,NSB,L&T 2,02.45,02.45,05.15,18900,00.00,1920,1935,00.15,40,99,4099,NS1 Frame no : 128 Pull cord fault,Conveyor Operation,Other
M002,02-12-2022,II,SF01OBURDEN,NSB,L&T 2,02.45,02.45,05.15,18900,00.00,2030,2045,00.15,44,09,4409,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,02-12-2022,III,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,2300,2320,00.20,48,99,4899,NS6 0 Sequence destaped,Conveyor Electrical,Others
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,2345,0000,00.15,44,09,4409,NS5 Center core cutting 1/2m single & 3nos BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,0030,0100,00.30,44,16,4416,NS3 Weak joint inspection & 4nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,0200,0300,01.00,44,16,4416,NS3 Weak joint inspection & 10 nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,0310,0330,00.20,48,99,4899,NS3 & NS2 RS Trouble due to single load,Conveyor Electrical,Others
M002,02-12-2022,III,SF01OBURDEN,NSB,1422,05.20,05.20,02.40,9600,00.00,0415,0430,00.15,44,16,4416,NS3 Weak joint inspection,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,2300,2320,00.20,48,99,4899,NS6 0 Sequence destaped,Conveyor Electrical,Others
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,2345,0000,00.15,44,09,4409,NS5 Center core cutting 1/2m single & 3nos BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,0030,0100,00.30,44,16,4416,NS3 Weak joint inspection & 4nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,0200,0300,01.00,44,16,4416,NS3 Weak joint inspection & 10 nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,0310,0330,00.20,48,99,4899,NS3 & NS2 RS Trouble due to single load,Conveyor Electrical,Others
M002,02-12-2022,III,SF01OBURDEN,NSB,L&T 2,05.20,05.20,02.40,9600,00.00,0415,0430,00.15,44,16,4416,NS3 Weak joint inspection,Conveyor Vulcanising,joint/belt inspection.
M002,02-12-2022,III,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,03-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,03-12-2022,I,SF01OBURDEN,NSB,1422,02.15,02.15,05.45,20700,00.00,0630,0645,00.15,44,05,4405,NS6 Center core cutting single core 1mtr,Conveyor Vulcanising,Center core cutting
M002,03-12-2022,I,SF01OBURDEN,NSB,1422,02.15,02.15,05.45,20700,00.00,0830,1400,05.30,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,I,SF01OBURDEN,NSB,L&T 2,02.15,02.15,05.45,20700,00.00,0630,0645,00.15,44,05,4405,NS6 Center core cutting single core 1mtr,Conveyor Vulcanising,Center core cutting
M002,03-12-2022,I,SF01OBURDEN,NSB,L&T 2,02.15,02.15,05.45,20700,00.00,0830,1400,05.30,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,I,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,03-12-2022,II,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,03-12-2022,II,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,II,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,03-12-2022,III,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,03-12-2022,III,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,III,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,94,04,9404,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,03-12-2022,III,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,34,01,3401,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
M002,04-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,04-12-2022,I,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,0600,1245,06.45,94,04,9404,NS3 Piece belt changing,Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,04-12-2022,I,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,1245,1400,01.15,40,99,4099,NS3 Conveyor soil packing cleaning & NS2 Secondary drum area,Conveyor Operation,Other
M002,04-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0600,1245,06.45,94,04,9404,NS3 Piece belt changing,Unplanned Vulcanising,Conveyor unplanned vulcanising
M002,04-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,1245,1400,01.15,40,99,4099,NS3 Conveyor soil packing cleaning & NS2 Secondary drum area,Conveyor Operation,Other
M002,04-12-2022,I,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,0600,1130,05.30,34,04,3404,Belt-1 Changing,Planned VULCANSING,Conveyor planned vulcanising works
M002,04-12-2022,I,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1130,1400,02.30,34,04,3404,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
M002,04-12-2022,II,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,04-12-2022,II,SF01OBURDEN,NSB,1422,03.15,03.15,04.45,17100,00.00,1400,1745,03.45,40,99,4099,NS3 Conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,04-12-2022,II,SF01OBURDEN,NSB,1422,03.15,03.15,04.45,17100,00.00,1745,1815,00.30,07,01,0701,Rain,Common Miscellaneous,Rain
M002,04-12-2022,II,SF01OBURDEN,NSB,1422,03.15,03.15,04.45,17100,00.00,2000,2010,00.10,44,05,4405,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,04-12-2022,II,SF01OBURDEN,NSB,1422,03.15,03.15,04.45,17100,00.00,2100,2120,00.20,48,16,4816,NS1 Not started - Electrical trouble(motor-2 eldro failure,Conveyor Electrical,Electrical work/trouble.
M002,04-12-2022,II,SF01OBURDEN,NSB,L&T 2,03.15,03.15,04.45,17100,00.00,1400,1745,03.45,40,99,4099,NS3 Conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,04-12-2022,II,SF01OBURDEN,NSB,L&T 2,03.15,03.15,04.45,17100,00.00,1745,1815,00.30,07,01,0701,Rain,Common Miscellaneous,Rain
M002,04-12-2022,II,SF01OBURDEN,NSB,L&T 2,03.15,03.15,04.45,17100,00.00,2000,2010,00.10,44,05,4405,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,04-12-2022,II,SF01OBURDEN,NSB,L&T 2,03.15,03.15,04.45,17100,00.00,2100,2120,00.20,48,16,4816,NS1 Not started - Electrical trouble(motor-2 eldro failure,Conveyor Electrical,Electrical work/trouble.
M002,04-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,34,04,3404,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
M002,04-12-2022,III,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,04-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,2330,0145,02.15,44,09,4409,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,04-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0400,0415,00.15,11,09,1109,M/C Main unit RST(I) Eldro problem & Brake releasing,BWE MM,Mc Brake Frame/Shoe/Tie rod - Adj/Chg/Repair
M002,04-12-2022,III,SF01OBURDEN,NSB,1422,04.15,04.15,03.45,13500,00.00,0445,0600,01.15,40,99,4099,"NS2,NS4,NS6 DH heacy duty pressure roller area soil packing",Conveyor Operation,Other
M002,04-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.30,04.30,03.30,12600,00.00,2330,0145,02.15,44,09,4409,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
M002,04-12-2022,III,SF01OBURDEN,NSB,L&T 2,04.30,04.30,03.30,12600,00.00,0445,0600,01.15,40,99,4099,"NS2,NS4,NS6 DH heavy duty pressure roller area soil packing",Conveyor Operation,Other
M002,04-12-2022,III,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,34,04,3404,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
M002,05-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,05-12-2022,I,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,0600,0730,01.30,40,99,4099,"NS2,NS4,NS6 Secondary drum area soil packing cleaning DH,HDR",Conveyor Operation,Other
M002,05-12-2022,I,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,0730,0930,02.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,05-12-2022,I,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,0930,1400,04.30,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,05-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0600,0730,01.30,40,99,4099,"NS2,NS4,NS6 Secondary drum area soil packing cleaning DH,HDR",Conveyor Operation,Other
M002,05-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0730,0930,02.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
M002,05-12-2022,I,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,0930,1400,04.30,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,05-12-2022,I,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,34,01,3401,Planned stoppage - M/C Belt-2 changing,Planned VULCANSING,BWE Planned vulcanising work
M002,05-12-2022,II,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,05-12-2022,II,SF01OBURDEN,NSB,1422,00.00,00.00,08.00,28800,00.00,1400,2200,08.00,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,05-12-2022,II,SF01OBURDEN,NSB,L&T 2,05.30,00.00,08.00,28800,00.00,1400,1500,01.00,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,05-12-2022,II,SF01OBURDEN,NSB,L&T 2,05.30,00.00,08.00,28800,00.00,1500,2030,05.30,09,01,0901,OB Rear load,Common Other,OB Rear load
M002,05-12-2022,II,SF01OBURDEN,NSB,L&T 2,05.30,00.00,08.00,28800,00.00,2030,2200,01.30,21,03,2103,MTC-7 Roller track plate double eye got cut,MTC MM,Mc Full Track Plate Pin/Plates Chg/Cutting-Welding
M002,05-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1400,1630,02.30,34,01,3401,Planned stoppage - M/C Belt-2 changing,Planned VULCANSING,BWE Planned vulcanising work
M002,05-12-2022,II,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,1630,2200,05.30,07,21,0721,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
M002,05-12-2022,III,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,05-12-2022,III,SF01OBURDEN,NSB,1422,05.50,05.50,02.10,7800,00.00,2200,2230,00.30,40,99,4099,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
M002,05-12-2022,III,SF01OBURDEN,NSB,1422,05.50,05.50,02.10,7800,00.00,2330,2345,00.15,44,05,4405,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,05-12-2022,III,SF01OBURDEN,NSB,1422,05.50,05.50,02.10,7800,00.00,0035,0050,00.15,44,05,4405,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,05-12-2022,III,SF01OBURDEN,NSB,1422,05.50,05.50,02.10,7800,00.00,0355,0455,01.00,46,99,4699,NS6 DH Heavy duty pr roller failure & removal,Conveyor CMRR,Others
M002,05-12-2022,III,SF01OBURDEN,NSB,1422,05.50,05.50,02.10,7800,00.00,0455,0505,00.10,44,05,4405,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
M002,05-12-2022,III,SF01OBURDEN,NSB,L&T 2,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,91,02,9102,MTC-7 RHS Track plate double eye got cut & changing,Unplanned MM,Unplanned MTC SME MM
M002,05-12-2022,III,SF01OBURDEN,NSB,TAK II,00.00,00.00,08.00,28800,00.00,2200,0600,08.00,33,01,3301,(MTC-9 OH),Planned SME OH,Over haul
M002,06-12-2022,I,SF01OBURDEN,NSB,1420,00.00,00.00,08.00,28800,00.00,0600,1400,08.00,33,01,3301,Over haul,Planned SME OH,Over haul
M002,06-12-2022,I,SF01OBURDEN,NSB,1422,03.25,03.25,04.35,16500,00.00,0730,0805,00.35,44,09,4409,NS5 Conveyor BTR Clamp fixing (no:9) & Ply piece belt fixed,Conveyor Vulcanising,BTR Clamp fixing
M002,06-12-2022,I,SF01OBURDEN,NSB,1422,03.25,03.25,04.35,16500,00.00,1000,1200,02.00,30,02,3002,Daily maintenance,Planned Operation,Daily maintenance
