Duration,Group code,Cause code,stopcode,Remarks,Group code text,Cause code text
04.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.20,21.0,99.0,2199.0,MTC-7 LHS Track plate double eye got cut & track plate chang,MTC MM,Other works
00.25,11.0,1.0,1101.0,plate changed,BWE MM,Mc Track Plate (1/2pad) Chg/Repair works
00.15,40.0,99.0,4099.0,NS1 Frame no : 128 Pull cord fault,Conveyor Operation,Other
00.15,44.0,9.0,4409.0,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.20,48.0,99.0,4899.0,NS6 0 Sequence destaped,Conveyor Electrical,Others
00.15,44.0,9.0,4409.0,NS5 Center core cutting 1/2m single & 3nos BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.30,44.0,16.0,4416.0,NS3 Weak joint inspection & 4nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
01.00,44.0,16.0,4416.0,NS3 Weak joint inspection & 10 nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
00.20,48.0,99.0,4899.0,NS3 & NS2 RS Trouble due to single load,Conveyor Electrical,Others
00.15,44.0,16.0,4416.0,NS3 Weak joint inspection,Conveyor Vulcanising,joint/belt inspection.
00.20,48.0,99.0,4899.0,NS6 0 Sequence destaped,Conveyor Electrical,Others
00.15,44.0,9.0,4409.0,NS5 Center core cutting 1/2m single & 3nos BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.30,44.0,16.0,4416.0,NS3 Weak joint inspection & 4nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
01.00,44.0,16.0,4416.0,NS3 Weak joint inspection & 10 nos BTR Clamp fixing,Conveyor Vulcanising,joint/belt inspection.
00.20,48.0,99.0,4899.0,NS3 & NS2 RS Trouble due to single load,Conveyor Electrical,Others
00.15,44.0,16.0,4416.0,NS3 Weak joint inspection,Conveyor Vulcanising,joint/belt inspection.
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.15,44.0,5.0,4405.0,NS6 Center core cutting single core 1mtr,Conveyor Vulcanising,Center core cutting
05.30,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
00.15,44.0,5.0,4405.0,NS6 Center core cutting single core 1mtr,Conveyor Vulcanising,Center core cutting
05.30,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
08.00,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
08.00,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
08.00,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
08.00,94.0,4.0,9404.0,NS3 Weak joint elimination & Piece belt changing (no 1180),Unplanned Vulcanising,Conveyor unplanned vulcanising
08.00,34.0,1.0,3401.0,Belt-1 changing work,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
06.45,94.0,4.0,9404.0,NS3 Piece belt changing,Unplanned Vulcanising,Conveyor unplanned vulcanising
01.15,40.0,99.0,4099.0,NS3 Conveyor soil packing cleaning & NS2 Secondary drum area,Conveyor Operation,Other
06.45,94.0,4.0,9404.0,NS3 Piece belt changing,Unplanned Vulcanising,Conveyor unplanned vulcanising
01.15,40.0,99.0,4099.0,NS3 Conveyor soil packing cleaning & NS2 Secondary drum area,Conveyor Operation,Other
05.30,34.0,4.0,3404.0,Belt-1 Changing,Planned VULCANSING,Conveyor planned vulcanising works
02.30,34.0,4.0,3404.0,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
03.45,40.0,99.0,4099.0,NS3 Conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.30,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.10,44.0,5.0,4405.0,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,48.0,16.0,4816.0,NS1 Not started - Electrical trouble(motor-2 eldro failure,Conveyor Electrical,Electrical work/trouble.
03.45,40.0,99.0,4099.0,NS3 Conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.30,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.10,44.0,5.0,4405.0,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,48.0,16.0,4816.0,NS1 Not started - Electrical trouble(motor-2 eldro failure,Conveyor Electrical,Electrical work/trouble.
08.00,34.0,4.0,3404.0,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.15,44.0,9.0,4409.0,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.15,11.0,9.0,1109.0,M/C Main unit RST(I) Eldro problem & Brake releasing,BWE MM,Mc Brake Frame/Shoe/Tie rod - Adj/Chg/Repair
01.15,40.0,99.0,4099.0,"NS2,NS4,NS6 DH heacy duty pressure roller area soil packing",Conveyor Operation,Other
02.15,44.0,9.0,4409.0,NS5 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
01.15,40.0,99.0,4099.0,"NS2,NS4,NS6 DH heavy duty pressure roller area soil packing",Conveyor Operation,Other
08.00,34.0,4.0,3404.0,Belt-2 Changing,Planned VULCANSING,Conveyor planned vulcanising works
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.30,40.0,99.0,4099.0,"NS2,NS4,NS6 Secondary drum area soil packing cleaning DH,HDR",Conveyor Operation,Other
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
04.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
01.30,40.0,99.0,4099.0,"NS2,NS4,NS6 Secondary drum area soil packing cleaning DH,HDR",Conveyor Operation,Other
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
04.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
08.00,34.0,1.0,3401.0,Planned stoppage - M/C Belt-2 changing,Planned VULCANSING,BWE Planned vulcanising work
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
08.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
01.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
05.30,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
01.30,21.0,3.0,2103.0,MTC-7 Roller track plate double eye got cut,MTC MM,Mc Full Track Plate Pin/Plates Chg/Cutting-Welding
02.30,34.0,1.0,3401.0,Planned stoppage - M/C Belt-2 changing,Planned VULCANSING,BWE Planned vulcanising work
05.30,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.15,44.0,5.0,4405.0,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
00.15,44.0,5.0,4405.0,NS5 Center core cutting,Conveyor Vulcanising,Center core cutting
01.00,46.0,99.0,4699.0,NS6 DH Heavy duty pr roller failure & removal,Conveyor CMRR,Others
00.10,44.0,5.0,4405.0,NS4 Center core cutting,Conveyor Vulcanising,Center core cutting
08.00,91.0,2.0,9102.0,MTC-7 RHS Track plate double eye got cut & changing,Unplanned MM,Unplanned MTC SME MM
08.00,33.0,1.0,3301.0,(MTC-9 OH),Planned SME OH,Over haul
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.35,44.0,9.0,4409.0,NS5 Conveyor BTR Clamp fixing (no:9) & Ply piece belt fixed,Conveyor Vulcanising,BTR Clamp fixing
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
02.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
04.00,21.0,99.0,2199.0,MTC-7 RHS Track plate double eye got cut & changing,MTC MM,Other works
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
02.00,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
04.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
00.45,10.0,12.0,1012.0,M/C Movement at rear loading,BWE Operation,BWE Repostioning/movement
01.15,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
03.30,40.0,99.0,4099.0,NS2 & NS3 Return roller soil packing cleaning,Conveyor Operation,Other
00.20,18.0,99.0,1899.0,NS1 M/C Sequence trouble,BWE Electrical,Others
00.15,45.0,1.0,4501.0,NS3 Return roller removal frame no :36,Conveyor CMM,Line  roller changing/removal
00.15,45.0,1.0,4501.0,NS1 return roller frame no : 186,Conveyor CMM,Line  roller changing/removal
03.30,40.0,99.0,4099.0,NS2 & NS3 Return roller soil packing cleaning,Conveyor Operation,Other
00.20,18.0,99.0,1899.0,NS1 M/C Sequence trouble,BWE Electrical,Others
00.15,45.0,1.0,4501.0,NS3 Return roller removal frame no :36,Conveyor CMM,Line  roller changing/removal
00.15,45.0,1.0,4501.0,NS1 return roller frame no : 186,Conveyor CMM,Line  roller changing/removal
07.30,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
00.30,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.00,45.0,99.0,4599.0,NS6 TE Drum area soil cleaning due to NS5 primary double pla,Conveyor CMM,Others
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
01.00,45.0,99.0,4599.0,NS6 TE Drum area soil cleaning due to NS5 primary double pla,Conveyor CMM,Others
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
00.30,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
07.30,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
04.30,40.0,99.0,4099.0,"NS4 Return roller soil packing cleaning, NS5 Conveyor return",Conveyor Operation,Other
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
04.30,40.0,99.0,4099.0,"NS4 Return roller soil packing cleaning, NS5 Conveyor return",Conveyor Operation,Other
06.00,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.20,10.0,12.0,1012.0,BWE Repostioning/movement to DH side cut,BWE Operation,BWE Repostioning/movement
00.30,40.0,99.0,4099.0,NS6 DH Sec-drum & pressure roller area soil packing cleaning,Conveyor Operation,Other
02.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.30,40.0,99.0,4099.0,NS6 DH Sec-drum & pressure roller area soil packing cleaning,Conveyor Operation,Other
07.30,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
00.30,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
07.00,91.0,1.0,9101.0,"SAT(O) Single edge got cut & track closing, Bottom roller 3n",Unplanned MM,Bucket wheel unplanned SME MM
00.10,60.0,99.0,6099.0,SPR-4 Rear/Boom roller protection switch acted,Spreader Operation,Others
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
07.30,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
00.30,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.00,11.0,1.0,1101.0,SAT(O) Single eye got & Track plate fixing,BWE MM,Mc Track Plate (1/2pad) Chg/Repair works
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
03.30,40.0,99.0,4099.0,All conveyor return roller soil packing cleaning,Conveyor Operation,Other
00.45,18.0,65.0,1865.0,Group control tripped & Movement problem,BWE Electrical,Track Movement Trouble
00.45,11.0,1.0,1101.0,RST(I) Track cut,BWE MM,Mc Track Plate (1/2pad) Chg/Repair works
00.30,21.0,1.0,2101.0,MTC-7 RHS track double eye got cut,MTC MM,Mc Track Plate (1/2pad) Chg/Repair works
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
05.00,91.0,1.0,9101.0,MTC-7 RHS track double eye got cut & New track plate fixing,Unplanned MM,Bucket wheel unplanned SME MM
01.00,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
02.00,9.0,1.0,901.0,OB Rear load,Common Other,OB Rear load
03.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
08.00,91.0,1.0,9101.0,FST(I) track plate single eye got cut & Changing,Unplanned MM,Bucket wheel unplanned SME MM
06.00,91.0,1.0,9101.0,MTC-7 RHS track double eye got cut & New track plate fixing,Unplanned MM,Bucket wheel unplanned SME MM
00.30,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.15,50.0,99.0,5099.0,NT D/Belt roller protection switch acted,Tripper Operation,Others
00.30,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.20,50.0,99.0,5099.0,NT D/belt sway acted,Tripper Operation,Others
00.20,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
00.15,50.0,99.0,5099.0,NT D/Belt roller protection switch acted,Tripper Operation,Others
00.30,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.20,50.0,99.0,5099.0,NT D/belt sway acted,Tripper Operation,Others
00.20,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.20,44.0,5.0,4405.0,NS7 Center core cutting,Conveyor Vulcanising,Center core cutting
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.20,40.0,1.0,4001.0,NS7 & NS3 TE clenaing due to Lineout,Conveyor Operation,Lineout adjustment
00.50,40.0,1.0,4001.0,NS3 TE Cleaning due to Lineout,Conveyor Operation,Lineout adjustment
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
01.30,40.0,99.0,4099.0,"NS4,NS5 & NS7 Conveyor return roller packed soil packing",Conveyor Operation,Other
02.20,40.0,1.0,4001.0,NS7 & NS3 TE clenaing due to Lineout,Conveyor Operation,Lineout adjustment
00.50,40.0,1.0,4001.0,NS3 TE Cleaning due to Lineout,Conveyor Operation,Lineout adjustment
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
01.30,40.0,99.0,4099.0,"NS4,NS5 & NS7 Conveyor return roller packed soil packing",Conveyor Operation,Other
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
02.00,45.0,1.0,4501.0,NS6 Center core cutting & BTR Clamp fixing & Roller removal,Conveyor CMM,Line  roller changing/removal
00.15,60.0,99.0,6099.0,Spr-4 Roller protection acted,Spreader Operation,Others
00.30,44.0,5.0,4405.0,NS7 Core protection acted & core cutting,Conveyor Vulcanising,Center core cutting
00.30,44.0,9.0,4409.0,NS6 joint no:870 (Center core cutting) 2 core 1/2 feet & BTR,Conveyor Vulcanising,BTR Clamp fixing
02.00,45.0,1.0,4501.0,NS6 Center core cutting & BTR Clamp fixing & Roller removal,Conveyor CMM,Line  roller changing/removal
00.15,60.0,99.0,6099.0,Spr-4 Roller protection acted,Spreader Operation,Others
00.30,44.0,5.0,4405.0,NS7 Core protection acted & core cutting,Conveyor Vulcanising,Center core cutting
00.30,44.0,9.0,4409.0,NS6 joint no:870 (Center core cutting) 2 core 1/2 feet & BTR,Conveyor Vulcanising,BTR Clamp fixing
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.00,40.0,1.0,4001.0,NS7 TE cleaning due to Line out,Conveyor Operation,Lineout adjustment
00.45,45.0,32.0,4532.0,NS7 TE 'V' Wiper correction,Conveyor CMM,"TE V-wiper chng./adj., V-wiper frame chng and repair works"
00.45,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.15,60.0,99.0,6099.0,SPR-4 R/Belt Roller protection acted,Spreader Operation,Others
01.30,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
01.00,40.0,1.0,4001.0,NS7 TE cleaning due to Line out,Conveyor Operation,Lineout adjustment
00.45,45.0,32.0,4532.0,NS7 TE 'V' Wiper correction,Conveyor CMM,"TE V-wiper chng./adj., V-wiper frame chng and repair works"
00.45,7.0,1.0,701.0,Rain,Common Miscellaneous,Rain
00.15,60.0,99.0,6099.0,SPR-4 R/Belt Roller protection acted,Spreader Operation,Others
01.30,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.45,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
02.00,44.0,9.0,4409.0,"NS6, NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
00.45,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
02.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
02.00,44.0,9.0,4409.0,"NS6, NS7 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.00,40.0,5.0,4005.0,NS7 TE Cleaning,Conveyor Operation,TE cleaning
01.15,44.0,9.0,4409.0,NS5 & NS7 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
00.45,40.0,99.0,4099.0,NS4 Belt slip acted & Load clearing,Conveyor Operation,Other
00.30,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
01.00,40.0,5.0,4005.0,NS7 TE Cleaning,Conveyor Operation,TE cleaning
01.15,44.0,9.0,4409.0,NS5 & NS7 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
01.00,40.0,99.0,4099.0,NS4 Belt slip acted & Load clearing,Conveyor Operation,Other
00.30,44.0,9.0,4409.0,NS6 BTR Clamp fixing,Conveyor Vulcanising,BTR Clamp fixing
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
00.40,44.0,9.0,4409.0,"NS5, NS6 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
01.00,44.0,9.0,4409.0,"NS5,NS6 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
00.40,44.0,9.0,4409.0,"NS5, NS6 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
01.00,44.0,9.0,4409.0,"NS5,NS6 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
00.15,10.0,1.0,1001.0,BWE Track Area Preparation,BWE Operation,BWE Track Area Preparation
08.00,7.0,21.0,721.0,Machine on Stand-By,Common Miscellaneous,Machine on Stand-By
08.00,33.0,1.0,3301.0,Over haul,Planned SME OH,Over haul
01.00,44.0,12.0,4412.0,NS7 TE Cleaning due to through cut,Conveyor Vulcanising,Through cut repair work
03.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
01.00,44.0,9.0,4409.0,"NS4, NS6 BTR Clamp fixing",Conveyor Vulcanising,BTR Clamp fixing
01.00,44.0,12.0,4412.0,NS7 TE Cleaning due to through cut,Conveyor Vulcanising,Through cut repair work
03.00,30.0,2.0,3002.0,Daily maintenance,Planned Operation,Daily maintenance
